project_id,plot_id,x,y,Strata
3132,217,-586470,1232610,23
3132,218,-475470,1218450,95
3132,219,-489030,1288020,95
3132,220,-521790,1346490,90
3132,221,-586830,1303680,81
3132,222,-521730,1364310,22
3132,223,-523020,1358460,71
3132,224,-585840,1363800,71
3132,225,-471720,1298190,43
3132,226,-560160,1344030,82
3132,227,-545670,1321380,71
3132,228,-514500,1216020,21
3132,229,-563130,1232040,82
3132,230,-470190,1298130,43
3132,231,-470640,1297620,31
3132,232,-559290,1254030,22
3132,233,-503760,1263510,11
3132,234,-502350,1323180,42
3132,235,-477750,1322640,42
3132,236,-593370,1215810,11
3132,237,-514860,1343490,90
3132,238,-531420,1350270,21
3132,239,-470940,1298790,43
3132,240,-556440,1318650,71
3132,241,-580530,1265940,81
3132,242,-579540,1328100,23
3132,243,-487110,1318860,31
3132,244,-537240,1341570,23
3132,245,-481170,1306050,42
3132,246,-471210,1265520,41
3132,247,-523650,1254090,24
3132,248,-477690,1249800,95
3132,249,-473910,1301670,31
3132,250,-573000,1237260,52
3132,251,-468300,1268790,41
3132,252,-531900,1311150,90
3132,253,-603900,1222800,52
3132,254,-493260,1239810,82
3132,255,-593790,1250730,52
3132,256,-471660,1287390,52
3132,257,-488130,1227810,23
3132,258,-483840,1289070,95
3132,259,-508170,1333260,90
3132,260,-465720,1269210,90
3132,261,-511920,1271190,95
3132,262,-488160,1297110,42
3132,263,-500460,1335090,41
3132,264,-525180,1254180,22
3132,265,-472470,1293420,43
3132,266,-468180,1262430,52
3132,267,-512100,1319940,82
3132,268,-467400,1328700,42
3132,269,-499920,1269120,71
3132,270,-475830,1300890,43
3132,271,-609000,1257390,82
3132,272,-519930,1335930,95
3132,273,-467730,1308150,41
3132,274,-513540,1339740,90
3132,275,-565710,1317720,95
3132,276,-475800,1300920,43
3132,277,-488790,1320570,31
3132,278,-592830,1215120,31
3132,279,-533010,1359930,24
3132,280,-560850,1214910,21
3132,281,-530820,1359270,24
3132,282,-493050,1317960,42
3132,283,-472860,1310040,42
3132,284,-578400,1309980,82
3132,285,-499020,1325670,90
3132,286,-529260,1364700,24
3132,287,-494550,1318530,42
3132,288,-476700,1302630,31
3132,289,-503460,1292280,71
3132,290,-593010,1356900,81
3132,291,-494340,1320930,52
3132,292,-607290,1239990,90
3132,293,-482640,1306590,42
3132,294,-607080,1284690,90
3132,295,-575130,1272150,22
3132,296,-565440,1326000,31
3132,297,-591060,1230870,81
3132,298,-477930,1317810,41
3132,299,-482100,1298730,42
3132,300,-470190,1295880,43
3132,301,-473280,1299570,43
3132,302,-483510,1281720,22
3132,303,-468780,1259280,41
3132,304,-520980,1250430,22
3132,305,-489180,1280670,11
3132,306,-483630,1299810,41
3132,307,-470970,1324770,41
3132,308,-529710,1363740,24
3132,309,-529260,1360770,22
3132,310,-599160,1337730,71
3132,311,-482490,1261080,11
3132,312,-488760,1352190,71
3132,313,-469620,1296330,43
3132,314,-541980,1235460,11
3132,315,-498900,1215570,71
3132,316,-532590,1363140,24
3132,317,-492000,1318920,42
3132,318,-510090,1229670,21
3132,319,-491760,1328220,41
3132,320,-600600,1284450,21
3132,321,-566790,1215300,21
3132,322,-578940,1224870,23
3132,323,-500250,1325790,90
3132,324,-589620,1314780,81
3132,325,-504840,1295610,95
3132,326,-566160,1300980,95
3132,327,-584820,1286400,82
3132,328,-475950,1303950,90
3132,329,-599970,1319670,21
3132,330,-612060,1260240,24
3132,331,-534570,1272300,82
3132,332,-470640,1257240,42
3132,333,-600690,1315080,71
3132,334,-550860,1220520,71
3132,335,-473700,1301010,31
3132,336,-579570,1225260,24
3132,337,-474270,1333140,31
3132,338,-466500,1295340,43
3132,339,-469470,1291140,41
3132,340,-497400,1323780,42
3132,341,-473820,1300740,43
3132,342,-496800,1221960,81
3132,343,-615210,1261260,22
3132,344,-472350,1270860,95
3132,345,-489630,1226340,23
3132,346,-466110,1288890,41
3132,347,-531150,1361040,24
3132,348,-593970,1356690,11
3132,349,-476310,1305600,31
3132,350,-568950,1227690,21
3132,351,-472380,1224930,95
3132,352,-467460,1299150,41
3132,353,-594270,1225890,11
3132,354,-526410,1364520,24
3132,355,-494730,1220040,21
3132,356,-558810,1224510,22
3132,357,-522150,1248120,24
3132,358,-526320,1282410,22
3132,359,-513930,1225710,95
3132,360,-482400,1299600,42
3132,361,-509220,1235550,95
3132,362,-479610,1308900,52
3132,363,-499740,1325790,90
3132,364,-493680,1325370,90
3132,365,-527100,1356450,22
3132,366,-474270,1263810,42
3132,367,-496500,1289670,52
3132,368,-526500,1363650,24
3132,369,-600030,1301010,11
3132,370,-569190,1291020,81
3132,371,-473640,1295460,41
3132,372,-490020,1301370,71
3132,373,-582090,1300530,81
3132,374,-572400,1259880,82
3132,375,-471090,1260120,42
