project_id,plot_id,x,y,Strata
3132,1,-467100,1262760,41
3132,2,-530580,1318380,22
3132,3,-535680,1340610,24
3132,4,-578520,1326270,23
3132,5,-521250,1266270,11
3132,6,-573570,1234710,21
3132,7,-490110,1275570,11
3132,8,-547770,1249200,21
3132,9,-496620,1332030,52
3132,10,-471300,1297770,31
3132,11,-466530,1338810,31
3132,12,-581130,1327830,24
3132,13,-530340,1308630,23
3132,14,-489480,1322280,42
3132,15,-524670,1291980,22
3132,16,-498750,1246710,82
3132,17,-596550,1218480,52
3132,18,-529710,1364400,24
3132,19,-612030,1308180,24
3132,20,-609930,1278750,81
3132,21,-561330,1220070,11
3132,22,-593910,1314750,82
3132,23,-470040,1253910,42
3132,24,-472620,1230900,81
3132,25,-471000,1298400,31
3132,26,-569880,1330860,22
3132,27,-520680,1327050,11
3132,28,-591930,1318440,81
3132,29,-499410,1326270,41
3132,30,-531690,1289220,71
3132,31,-473040,1266750,42
3132,32,-605850,1240140,52
3132,33,-506820,1327530,90
3132,34,-513750,1214970,23
3132,35,-479670,1311990,31
3132,36,-499140,1344690,21
3132,37,-523500,1254660,24
3132,38,-526020,1290510,24
3132,39,-611190,1261890,71
3132,40,-509160,1265880,11
3132,41,-535650,1350930,23
3132,42,-558810,1290540,95
3132,43,-523380,1252830,24
3132,44,-528600,1354050,23
3132,45,-468420,1296330,43
3132,46,-604140,1232220,52
3132,47,-521880,1273260,21
3132,48,-486600,1307880,42
3132,49,-496860,1294140,31
3132,50,-472080,1317450,42
3132,51,-514710,1254900,22
3132,52,-542970,1308210,71
3132,53,-596880,1352370,52
3132,54,-531660,1294080,11
3132,55,-479460,1283850,82
3132,56,-580860,1298610,81
3132,57,-527940,1359990,24
3132,58,-546180,1269060,95
3132,59,-548700,1298550,71
3132,60,-578910,1348980,22
3132,61,-472050,1329690,71
3132,62,-492210,1349820,82
3132,63,-527640,1347660,41
3132,64,-542670,1255230,82
3132,65,-553230,1294350,82
3132,66,-600150,1256790,24
3132,67,-514650,1257810,21
3132,68,-534360,1342950,71
3132,69,-485430,1320750,43
3132,70,-513960,1363650,24
3132,71,-497760,1231350,11
3132,72,-483330,1312530,31
3132,73,-536220,1308510,11
3132,74,-587250,1299810,81
3132,75,-467970,1267470,90
3132,76,-553770,1334520,11
3132,77,-497490,1325400,43
3132,78,-479970,1220400,11
3132,79,-496770,1240530,22
3132,80,-597480,1230090,90
3132,81,-488190,1313730,31
3132,82,-514020,1341510,90
3132,83,-597210,1228020,90
3132,84,-510300,1353900,52
3132,85,-528390,1353360,23
3132,86,-593400,1242300,21
3132,87,-504330,1361730,23
3132,88,-583020,1228260,21
3132,89,-557370,1240440,71
3132,90,-482190,1219170,81
3132,91,-513990,1341060,90
3132,92,-467490,1295730,43
3132,93,-503100,1359480,82
3132,94,-487050,1311390,41
3132,95,-473220,1295610,41
3132,96,-500250,1325700,90
3132,97,-593790,1216230,22
