File,Failure_Count
1995_0246_3132.out,26
1995_0247_3132.out,26
1995_0248_3132.out,26
1995_0249_3132.out,26
1995_0250_3132.out,7
1995_0251_3132.out,61
1995_0252_3132.out,15
1995_0253_3132.out,11
1995_0254_3132.out,26
1995_0255_3132.out,9
1995_0256_3132.out,26
1995_0257_3132.out,26
1995_0258_3132.out,26
1995_0259_3132.out,26
1995_0260_3132.out,61
1995_0261_3132.out,26
1995_0262_3132.out,26
1995_0263_3132.out,26
1995_0264_3132.out,26
1995_0265_3132.out,26
1995_0266_3132.out,61
1995_0267_3132.out,26
1995_0268_3132.out,61
1995_0269_3132.out,26
1995_0270_3132.out,26
1995_0271_3132.out,26
1995_0272_3132.out,25
1995_0273_3132.out,61
1995_0274_3132.out,25
1995_0275_3132.out,8
1995_0276_3132.out,26
1995_0277_3132.out,26
1995_0278_3132.out,27
1995_0279_3132.out,6
1995_0280_3132.out,45
1995_0281_3132.out,6
1995_0282_3132.out,26
1995_0283_3132.out,26
1995_0284_3132.out,10
1995_0285_3132.out,26
1995_0286_3132.out,23
1995_0287_3132.out,26
1995_0288_3132.out,26
1995_0289_3132.out,26
1995_0290_3132.out,26
1995_0291_3132.out,26
1995_0292_3132.out,26
1995_0293_3132.out,26
1995_0294_3132.out,26
1995_0295_3132.out,8
1995_0296_3132.out,9
1995_0297_3132.out,7
1995_0298_3132.out,26
1995_0299_3132.out,26
1995_0300_3132.out,26
1995_0301_3132.out,26
1995_0302_3132.out,26
1995_0303_3132.out,61
1995_0304_3132.out,26
1995_0305_3132.out,26
1995_0306_3132.out,26
1995_0307_3132.out,26
1995_0308_3132.out,23
1995_0309_3132.out,6
1995_0310_3132.out,26
1995_0311_3132.out,26
1995_0312_3132.out,26
1995_0313_3132.out,26
1995_0314_3132.out,25
1995_0315_3132.out,61
1995_0316_3132.out,23
1995_0317_3132.out,26
1995_0318_3132.out,25
1995_0319_3132.out,26
1995_0320_3132.out,26
1995_0321_3132.out,31
1995_0322_3132.out,7
1995_0323_3132.out,26
1995_0324_3132.out,26
1995_0325_3132.out,26
1995_0326_3132.out,8
1995_0327_3132.out,10
1995_0328_3132.out,26
1995_0329_3132.out,26
1995_0330_3132.out,46
1995_0331_3132.out,25
1995_0332_3132.out,26
1995_0333_3132.out,26
1995_0334_3132.out,24
1995_0335_3132.out,26
1995_0336_3132.out,7
1995_0337_3132.out,26
1995_0338_3132.out,61
1995_0339_3132.out,26
1995_0340_3132.out,26
1995_0341_3132.out,26
1995_0342_3132.out,25
1995_0343_3132.out,46
1995_0344_3132.out,26
1995_0345_3132.out,26
1995_0346_3132.out,61
1995_0347_3132.out,23
1995_0348_3132.out,26
1995_0349_3132.out,26
1995_0350_3132.out,7
1995_0351_3132.out,26
1995_0352_3132.out,61
1995_0353_3132.out,9
1995_0354_3132.out,23
1995_0355_3132.out,25
1995_0356_3132.out,14
1995_0357_3132.out,26
1995_0358_3132.out,26
1995_0359_3132.out,25
1995_0360_3132.out,26
1995_0361_3132.out,26
1995_0362_3132.out,26
1995_0363_3132.out,26
1995_0364_3132.out,26
1995_0365_3132.out,8
1995_0366_3132.out,26
1995_0367_3132.out,26
1995_0368_3132.out,23
1995_0369_3132.out,26
1995_0370_3132.out,8
1995_0371_3132.out,26
1995_0372_3132.out,26
1995_0373_3132.out,13
1995_0374_3132.out,8
1995_0375_3132.out,26
